Time,Host,Caption,CommandLine,CreationClassName,CreationDate,CSCreationClassName,CSName,Description,ExecutablePath,ExecutionState,Handle,HandleCount,InstallDate,KernelModeTime,MaximumWorkingSetSize,MinimumWorkingSetSize,Name,OSCreationClassName,OSName,OtherOperationCount,OtherTransferCount,PageFaults,PageFileUsage,ParentProcessId,PeakPageFileUsage,PeakVirtualSize,PeakWorkingSetSize,Priority,PrivatePageCount,ProcessId,QuotaNonPagedPoolUsage,QuotaPagedPoolUsage,QuotaPeakNonPagedPoolUsage,QuotaPeakPagedPoolUsage,ReadOperationCount,ReadTransferCount,SessionId,Status,TerminationDate,ThreadCount,UserModeTime,VirtualSize,WindowsVersion,WorkingSetSize,WriteOperationCount,WriteTransferCount
1717239514.0339634,pc-dedo,System Idle Process,,Win32_Process,20240601121509.523711+120,Win32_ComputerSystem,PC-DEDO,System Idle Process,,,0,0,,256125312500,,,System Idle Process,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,0,0,9,60,0,60,8192,12,0,61440,0,1,0,1,0,0,0,0,,,12,0,8192,10.0.19045,8192,0,0
1717239514.0339634,pc-dedo,System,,Win32_Process,20240601121509.523711+120,Win32_ComputerSystem,PC-DEDO,System,,,4,7539,,2494687500,,,System,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,264116,1505459,3398,200,0,232,20119552,4064,8,204800,4,1,0,1,0,307,38382557,0,,,397,0,5251072,10.0.19045,593920,12246,687347509
1717239514.0339634,pc-dedo,Secure System,,Win32_Process,20240601121505.627623+120,Win32_ComputerSystem,PC-DEDO,Secure System,,,88,0,,0,,,Secure System,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,0,0,71,184,4,232,2801664,120,8,188416,88,1,9,1,10,0,0,0,,,0,0,2269184,10.0.19045,41504768,0,0
1717239514.0339634,pc-dedo,Registry,,Win32_Process,20240601121505.722142+120,Win32_ComputerSystem,PC-DEDO,Registry,,,156,0,,30781250,,,Registry,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,307,3827,160711,39868,4,187364,260112384,250128,8,40824832,156,26,348,40,501,4,16384,0,,,4,0,180183040,10.0.19045,65220608,8175,293527552
1717239514.0339634,pc-dedo,smss.exe,,Win32_Process,20240601121509.528153+120,Win32_ComputerSystem,PC-DEDO,smss.exe,,,560,53,,1875000,,,smss.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,581,10716,1169,1072,4,1884,2203377631232,1960,11,1097728,560,4,13,6,24,22,16804,0,,,2,0,2203376574464,10.0.19045,1122304,14,832004
1717239514.0339634,pc-dedo,csrss.exe,,Win32_Process,20240601121513.701439+120,Win32_ComputerSystem,PC-DEDO,csrss.exe,,,856,922,,11562500,,,csrss.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,10886,213886,5634,2744,848,3308,2203424350208,5768,13,2809856,856,30,299,34,336,642,884644,0,,,22,2500000,2203422121984,10.0.19045,5246976,1,31
1717239514.0339634,pc-dedo,wininit.exe,,Win32_Process,20240601121515.499473+120,Win32_ComputerSystem,PC-DEDO,wininit.exe,,,108,167,,781250,,,wininit.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,373,3274,2601,1432,848,1980,2203401338880,6956,13,1466368,108,11,76,14,89,3,16900,0,,,1,156250,2203388538880,10.0.19045,6361088,0,0
1717239514.0339634,pc-dedo,csrss.exe,,Win32_Process,20240601121515.502326+120,Win32_ComputerSystem,PC-DEDO,csrss.exe,,,520,1177,,322031250,,,csrss.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,31466,519968,14680,3696,1020,11432,2203506438144,13220,13,3784704,520,49,451,50,498,291874,8170753,1,,,16,6875000,2203485462528,10.0.19045,6144000,0,0
1717239514.0339634,pc-dedo,services.exe,,Win32_Process,20240601121515.565587+120,Win32_ComputerSystem,PC-DEDO,services.exe,,,948,953,,22812500,,,services.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,8358,158846,12439,7080,108,10852,2203441750016,16472,9,7249920,948,16,212,25,224,11,32948,0,,,7,17187500,2203404083200,10.0.19045,13017088,1,160
1717239514.0339634,pc-dedo,winlogon.exe,,Win32_Process,20240601121515.570811+120,Win32_ComputerSystem,PC-DEDO,winlogon.exe,,,1052,276,,1250000,,,winlogon.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,550,203182,10579,2804,1020,3732,2203449786368,34520,13,2871296,1052,13,145,15,200,4,223084,1,,,5,468750,2203421683712,10.0.19045,11796480,0,0
1717239514.0339634,pc-dedo,LsaIso.exe,,Win32_Process,20240601121515.593374+120,Win32_ComputerSystem,PC-DEDO,LsaIso.exe,,,1108,52,,1406250,,,LsaIso.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,158,0,1184,1236,108,1340,2203371737088,3860,8,1265664,1108,7,27,8,28,0,0,0,,,1,0,2203369639936,10.0.19045,3624960,0,0
1717239514.0339634,pc-dedo,lsass.exe,,Win32_Process,20240601121515.595417+120,Win32_ComputerSystem,PC-DEDO,lsass.exe,,,1116,2256,,191875000,,,lsass.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,178198,10345199,42268,12124,108,12428,2203454603264,28156,9,12414976,1116,31,232,37,234,49409,59141255,0,,,11,159531250,2203451887616,10.0.19045,28151808,1665,1106863
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121515.822330+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1228,1729,,58125000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,44053,1054092,18691,11860,948,12836,2203476811776,30180,8,12144640,1228,26,578,31,596,80,319488,0,,,19,15937500,2203461181440,10.0.19045,29896704,6,90112
1717239514.0339634,pc-dedo,fontdrvhost.exe,,Win32_Process,20240601121515.833455+120,Win32_ComputerSystem,PC-DEDO,fontdrvhost.exe,,,1256,36,,10468750,,,fontdrvhost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,9982,264908,28830,7952,1052,11796,2203727380480,20088,8,8142848,1256,11,358,25,655,0,0,1,,,5,4218750,2203571146752,10.0.19045,10334208,0,0
1717239514.0339634,pc-dedo,fontdrvhost.exe,,Win32_Process,20240601121515.833463+120,Win32_ComputerSystem,PC-DEDO,fontdrvhost.exe,,,1264,36,,156250,,,fontdrvhost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,31,820,1211,1716,108,1772,2203390312448,4048,8,1757184,1264,6,39,6,39,0,0,0,,,5,156250,2203389329408,10.0.19045,2904064,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121515.916572+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1344,1667,,74375000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,19332,547606,69989,10716,948,10852,2203457445888,18508,8,10973184,1344,22,210,30,216,36,147456,0,,,11,96406250,2203420205056,10.0.19045,18128896,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121515.938131+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1400,356,,3437500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,101,404,2869,2940,948,3120,2203405901824,9108,8,3010560,1400,13,119,14,120,0,0,0,,,3,2656250,2203397844992,10.0.19045,8753152,0,0
1717239514.0339634,pc-dedo,dwm.exe,,Win32_Process,20240601121516.009923+120,Win32_ComputerSystem,PC-DEDO,dwm.exe,,,1476,1944,,542968750,,,dwm.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,3097,216156,147530,199836,1052,231724,2204037681152,106876,13,204632064,1476,67,894,85,946,7,611732,1,,,24,4350468750,2203970146304,10.0.19045,92463104,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.043743+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1632,111,,156250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,88,322,1678,1256,948,1412,2203389177856,5868,8,1286144,1632,11,59,11,61,0,0,0,,,2,0,2203386490880,10.0.19045,5550080,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.047385+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1656,122,,0,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,28,110,1583,1292,948,1544,2203389587456,5892,8,1323008,1656,8,60,9,62,0,0,0,,,3,0,2203387842560,10.0.19045,5242880,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.061686+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1720,479,,150312500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,11622,1427774,41182,24108,948,28144,2203470401536,28360,8,24686592,1720,22,149,22,151,108105,100110592,0,,,9,115937500,2203469565952,10.0.19045,21815296,1559,48568264
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.063583+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1728,410,,6250000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,5533,274122,5390,6360,948,7564,2203443625984,16176,8,6512640,1728,18,263,24,279,5,3494,0,,,8,4375000,2203425038336,10.0.19045,15147008,373,34194536
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.065584+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1744,214,,468750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,195,8128,3009,2248,948,2852,2203404873728,10480,8,2301952,1744,12,89,18,91,0,0,0,,,1,156250,2203398057984,10.0.19045,9375744,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.065818+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1760,247,,9531250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,84728,2948044,4486,3384,948,4348,2203441078272,14776,8,3465216,1760,14,157,15,167,6,24576,0,,,2,1875000,2203433213952,10.0.19045,12898304,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.066252+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1768,309,,781250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,66,270,3607,2156,948,2488,2203406155776,12384,8,2207744,1768,10,119,11,122,0,0,0,,,3,1093750,2203404578816,10.0.19045,12079104,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.086322+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1896,269,,14531250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,89,1132,4765,2664,948,3192,2203405602816,10412,8,2727936,1896,10,86,12,86,0,0,0,,,4,10156250,2203399827456,10.0.19045,9879552,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.089192+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1920,153,,312500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,830,76314,2054,1768,948,1996,2203405660160,7060,8,1810432,1920,13,82,16,85,3,0,0,,,7,312500,2203402510336,10.0.19045,6549504,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.093069+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1960,191,,2187500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,3661,143622,4897,8728,948,8864,2203400552448,13104,8,8937472,1960,41,59,48,61,0,0,0,,,4,2500000,2203394785280,10.0.19045,9187328,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.096070+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1988,191,,625000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,26,270,1822,1608,948,1676,2203399274496,6532,8,1646592,1988,8,62,8,64,0,0,0,,,2,312500,2203396124672,10.0.19045,6184960,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.102913+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2036,192,,312500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,144,5370,2669,1824,948,2160,2203398770688,8452,8,1867776,2036,10,74,11,75,264,5392,0,,,3,156250,2203393728512,10.0.19045,7741440,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.105368+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,828,269,,5000000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,625,39534,3325,2880,948,3920,2203408244736,8960,8,2949120,828,11,81,18,83,0,0,0,,,6,5000000,2203393564672,10.0.19045,7737344,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.127812+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2136,150,,2031250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,180,373486,2461,1724,948,2288,2203401588736,8740,8,1765376,2136,10,80,13,82,0,0,0,,,1,0,2203394772992,10.0.19045,7929856,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.135346+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2224,402,,3125000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,9187,640039,6243,5244,948,6468,2203440967680,14260,8,5369856,2224,17,110,23,112,2,232,0,,,6,2031250,2203422031872,10.0.19045,11857920,2,320
1717239514.0339634,pc-dedo,atiesrxx.exe,,Win32_Process,20240601121516.151969+120,Win32_ComputerSystem,PC-DEDO,atiesrxx.exe,,,2280,208,,1093750,,,atiesrxx.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,1460,14968,2137,1668,948,1828,4382404608,7248,8,1708032,2280,10,84,12,85,0,0,0,,,7,156250,4378206208,10.0.19045,6840320,0,0
1717239514.0339634,pc-dedo,amdfendrsr.exe,,Win32_Process,20240601121516.152129+120,Win32_ComputerSystem,PC-DEDO,amdfendrsr.exe,,,2288,145,,16093750,,,amdfendrsr.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,490,19294,2178,2236,948,2388,4387893248,7812,8,2289664,2288,9,98,11,98,0,0,0,,,4,781250,4382646272,10.0.19045,7163904,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.165598+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2368,605,,7187500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,21044,1470414,8840,3532,948,4988,2203420495872,10984,8,3616768,2368,14,105,21,105,0,0,0,,,8,5937500,2203400634368,10.0.19045,10096640,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.181543+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2424,129,,156250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,47,110,2051,1464,948,1792,2203393417216,7664,8,1499136,2424,8,65,9,65,0,0,0,,,1,0,2203388309504,10.0.19045,6746112,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.228369+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2584,228,,5000000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,16202,825866,13882,2484,948,3952,2203401674752,9868,8,2543616,2584,11,90,17,90,0,0,0,,,6,2968750,2203396861952,10.0.19045,8622080,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.250553+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2716,241,,116718750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,10439,120044,101464,2936,948,8500,2207729602560,18160,8,3006464,2716,13,108,13,108,3,315993,0,,,4,17187500,2207726526464,10.0.19045,13950976,562,9113123
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.250612+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2724,384,,312500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,36,110,2475,1380,948,1516,2203393503232,6336,8,1413120,2724,8,75,8,75,0,0,0,,,3,625000,2203391406080,10.0.19045,6017024,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.250859+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2732,194,,156250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,47,582,2604,2120,948,2456,2203402788864,8340,8,2170880,2732,10,73,11,73,34,714,0,,,7,625000,2203398586368,10.0.19045,7708672,0,0
1717239514.0339634,pc-dedo,atieclxx.exe,,Win32_Process,20240601121516.252601+120,Win32_ComputerSystem,PC-DEDO,atieclxx.exe,,,2748,339,,92187500,,,atieclxx.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,8612,249414,5808,4376,2280,4672,4456226816,16572,8,4481024,2748,17,221,19,227,9,501918,1,,,12,7031250,4446588928,10.0.19045,15073280,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.254673+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2800,374,,35625000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,54984,3127588,7149,4008,948,4844,2203420631040,9760,8,4104192,2800,16,90,42,95,12,3783,0,,,10,11250000,2203407245312,10.0.19045,9572352,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.254689+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2808,391,,6250000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,16465,3176130,28387,4092,948,4916,2203424473088,14064,8,4190208,2808,13,114,18,121,0,0,0,,,9,1562500,2203414208512,10.0.19045,12267520,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.273232+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,2908,228,,468750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,246,5566,3307,2344,948,2660,2203406970880,9840,8,2400256,2908,15,88,16,88,396,7964,0,,,4,312500,2203405369344,10.0.19045,9609216,0,0
1717239514.0339634,pc-dedo,Memory Compression,,Win32_Process,20240601121516.274100+120,Win32_ComputerSystem,PC-DEDO,Memory Compression,,,2916,0,,227031250,,,Memory Compression,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,0,0,435858,1988,4,2020,1021706240,898116,8,2035712,2916,0,5,0,5,0,0,0,,,126,0,973078528,10.0.19045,804859904,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.285255+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3000,306,,7812500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,4377,135678,3434,2680,948,3300,2203405352960,9728,8,2744320,3000,10,98,22,100,0,0,0,,,2,2187500,2203398537216,10.0.19045,7966720,24,7728
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.285429+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3008,199,,625000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,2069,98044,5795,2188,948,7364,2203455082496,13340,8,2240512,3008,11,125,13,141,0,0,0,,,5,1718750,2203444514816,10.0.19045,8880128,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.302270+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,1456,132,,0,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,60,318,2065,1516,948,1920,2203393286144,7372,8,1552384,1456,9,64,10,66,0,0,0,,,1,156250,2203387572224,10.0.19045,6701056,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.329743+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3108,430,,12343750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,1989,59847,234351,10548,948,19572,2203447554048,29840,8,10801152,3108,34,115,39,119,0,0,0,,,12,22500000,2203437400064,10.0.19045,16396288,1,32768
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.424427+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3184,139,,0,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,82,350,2000,1508,948,1776,2203394125824,7152,8,1544192,3184,9,69,10,71,0,0,0,,,1,0,2203390283776,10.0.19045,6467584,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.440742+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3272,264,,1093750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,5244,296598,4084,2720,948,3316,2203405410304,8864,8,2785280,3272,14,90,17,90,0,0,0,,,4,625000,2203398594560,10.0.19045,7278592,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.441259+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3280,164,,2187500,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,4583,232702,3503,1740,948,2232,2203388887040,7784,8,1781760,3280,13,57,16,58,0,0,0,,,3,937500,2203384733696,10.0.19045,7004160,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121516.906354+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3696,208,,156250,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,389,30432,2424,2008,948,2504,2203402440704,8960,8,2056192,3696,11,76,13,78,0,0,0,,,5,156250,2203397722112,10.0.19045,7835648,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121517.048254+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3844,610,,45625000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,1920,103188,5534,4876,948,6628,2203430936576,16392,8,4993024,3844,15,125,19,126,0,0,0,,,9,16250000,2203418877952,10.0.19045,15740928,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121517.123832+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,3976,520,,52500000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,321,28316,95216,10676,948,14760,2203450015744,23320,8,10932224,3976,17,113,19,121,3236,26274748,0,,,20,119687500,2203436965888,10.0.19045,19226624,12,281488
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121517.134790+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,4068,194,,38750000,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,777,1046,54021,9936,948,23092,2203431051264,31724,8,10174464,4068,11,81,12,82,10848,44209632,0,,,5,155625000,2203421458432,10.0.19045,18837504,67,156368
1717239514.0339634,pc-dedo,audiodg.exe,,Win32_Process,20240601121517.145931+120,Win32_ComputerSystem,PC-DEDO,audiodg.exe,,,2404,355,,148281250,,,audiodg.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,685683,42856098,268531,25160,3844,47580,2203510194176,54904,8,25763840,2404,23,150,28,172,1364,23615,0,,,17,470000000,2203500179456,10.0.19045,30113792,156,6490
1717239514.0339634,pc-dedo,WmsSelfHealingSvc.exe,,Win32_Process,20240601121517.146219+120,Win32_ComputerSystem,PC-DEDO,WmsSelfHealingSvc.exe,,,3620,291,,468750,,,WmsSelfHealingSvc.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,1078,31237,4709,3548,948,4812,2203431690240,15688,8,3633152,3620,16,147,24,159,3,338,0,,,4,312500,2203424956416,10.0.19045,13529088,196,28288
1717239514.0339634,pc-dedo,WmsSvc.exe,,Win32_Process,20240601121517.178813+120,Win32_ComputerSystem,PC-DEDO,WmsSvc.exe,,,4128,593,,4062500,,,WmsSvc.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,2734,358106,6021,8592,948,8676,2203447152640,20132,8,8798208,4128,122,164,128,172,0,0,0,,,19,1718750,2203444527104,10.0.19045,17039360,0,0
1717239514.0339634,pc-dedo,unsecapp.exe,,Win32_Process,20240601121517.452299+120,Win32_ComputerSystem,PC-DEDO,unsecapp.exe,,,4376,127,,156250,,,unsecapp.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,40,250,2143,1580,1228,1580,2203391336448,7520,8,1617920,4376,8,65,9,65,0,0,0,,,3,0,2203387142144,10.0.19045,7294976,0,0
1717239514.0339634,pc-dedo,svchost.exe,,Win32_Process,20240601121517.479418+120,Win32_ComputerSystem,PC-DEDO,svchost.exe,,,4528,216,,468750,,,svchost.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,702,58936,5671,2440,948,4452,2203417792512,13184,8,2498560,4528,15,112,16,114,0,0,0,,,3,312500,2203413037056,10.0.19045,10588160,0,0
